numb_bees,max_itrs,p_f,limit,modification_rate,count,mean,median,std,min,max
450,1000,0.25,150,0.1,30,3.084319,3.007174,0.335375,2.586845,3.871849
450,1000,0.25,150,0.5,30,2.878211,2.882774,0.400141,2.21437,3.722204
450,1000,0.25,150,0.9,30,2.738271,2.722018,0.272121,2.0395,3.16544
450,1000,0.45,10,0.1,30,2.880307,2.912189,0.346373,2.219537,3.506562
450,1000,0.45,10,0.5,30,2.724743,2.750218,0.31075,2.025549,3.260657
450,1000,0.45,10,0.9,30,2.497896,2.469702,0.335259,1.888903,3.098332
450,1000,0.45,50,0.1,30,2.90386,2.927393,0.326173,2.272362,3.506878
450,1000,0.45,50,0.5,30,2.724743,2.750218,0.31075,2.025549,3.260657
450,1000,0.45,50,0.9,30,2.497896,2.469702,0.335259,1.888903,3.098332
450,1000,0.45,150,0.1,30,2.918777,2.896112,0.378721,2.247844,3.741868
450,1000,0.45,150,0.5,30,2.719486,2.640407,0.390672,2.108373,3.854356
450,1000,0.45,150,0.9,30,2.451248,2.431005,0.300386,1.807626,2.957882
450,1000,0.75,10,0.1,30,2.776765,2.810832,0.286697,2.219537,3.411244
450,1000,0.75,10,0.5,30,2.612695,2.609038,0.325912,2.047339,3.484465
450,1000,0.75,10,0.9,30,2.420871,2.403841,0.218656,1.955667,2.805461
450,1000,0.75,50,0.1,30,2.80794,2.806949,0.423709,1.998708,3.746238
450,1000,0.75,50,0.5,30,2.612695,2.609038,0.325912,2.047339,3.484465
450,1000,0.75,50,0.9,30,2.420871,2.403841,0.218656,1.955667,2.805461
450,1000,0.75,150,0.1,30,2.709826,2.699395,0.46908,2.033908,3.859014
450,1000,0.75,150,0.5,30,2.61364,2.607704,0.316654,2.047339,3.484465
450,1000,0.75,150,0.9,30,2.420871,2.403841,0.218656,1.955667,2.805461
